system,learner_id,day,predictions,mae,rmse
improved-full,L079,10,8,0.2539164425,0.2979621968269678
improved-full,L082,10,8,0.1054709775,0.12954167196235503
improved-full,L086,10,8,0.36288105624999994,0.3767075976193445
improved-full,L089,10,8,0.09439544875,0.1716164328247885
improved-full,L091,10,8,0.21895668999999998,0.32569454789629587
improved-full,L094,10,8,0.197449855,0.26288451388676987
improved-full,L095,10,8,0.22234301249999994,0.27058062330690585
improved-full,L096,10,8,0.3199776949999999,0.33379743919095106
improved-full,L099,10,8,0.1381172375,0.17164864168736726
improved-full,L102,10,8,0.09653779375000002,0.11803362138159816
improved-full,L111,10,8,0.24310598374999998,0.3179353971495695
improved-full,L122,10,8,0.17982567249999998,0.22487728142478386
improved-full,L126,10,8,0.225996295,0.2580072421347594
improved-full,L128,10,8,0.11855618375,0.1779668340177765
improved-full,L134,10,8,0.1495790125,0.18300506256592383
improved-full,L143,10,8,0.20177465124999996,0.2160729104963162
improved-full,L152,10,8,0.15500295374999998,0.22314406449500754
improved-full,L154,10,8,0.23976733499999994,0.3213248057137373
improved-full,L164,10,8,0.20049990249999997,0.2789125158814697
improved-full,L165,10,8,0.15338634624999997,0.20662549800162927
improved-full,L171,10,8,0.20139456125000002,0.24883038444428132
improved-full,L172,10,8,0.14686904124999997,0.16700254773954448
improved-full,L185,10,8,0.40442861,0.4257296991763001
improved-full,L187,10,8,0.26303206375,0.2877159054466379
improved-full,L193,10,8,0.2223914175,0.2773091993951978
improved-full,L206,10,8,0.3069123737499999,0.32263950596778834
improved-full,L208,10,8,0.1818630625,0.21486843191382043
improved-full,L211,10,8,0.20044708875,0.23391198350239667
improved-full,L212,10,8,0.30221887,0.34316582376783183
improved-full,L235,10,8,0.22295159125000003,0.26487817225625304
improved-full,L236,10,8,0.23023798624999997,0.2760446152296114
improved-full,L239,10,8,0.16478495875000002,0.1985730746271305
improved-full,L002,20,8,0.21038747624999996,0.2217141411978572
improved-full,L005,20,8,0.18936669499999997,0.20661081924441296
improved-full,L013,20,8,0.19147023375,0.21517537431209427
improved-full,L019,20,8,0.1911000225,0.24146265558795524
improved-full,L022,20,8,0.24757470124999997,0.2814373473892324
improved-full,L025,20,8,0.15176833374999998,0.1993475410100018
improved-full,L031,20,8,0.18648692,0.22362718021827158
improved-full,L035,20,8,0.23100520374999994,0.2555214119942896
improved-full,L037,20,8,0.19173343624999997,0.20103115197514962
improved-full,L039,20,8,0.28975332125,0.3053739403680543
improved-full,L054,20,8,0.32390064999999996,0.3358916438557091
improved-full,L057,20,8,0.3420372112499999,0.3687181470234455
improved-full,L066,20,8,0.31012008875,0.33115926226912784
improved-full,L069,20,8,0.28171311749999994,0.3149812578129258
improved-full,L070,20,8,0.2192703325,0.24405183451677498
improved-full,L076,20,8,0.23797672874999998,0.25222391528716853
improved-full,L079,20,8,0.22061804999999995,0.24375615249391377
improved-full,L082,20,8,0.31133896749999995,0.32116197975690697
improved-full,L086,20,8,0.2970276524999999,0.3242819482191575
improved-full,L089,20,8,0.18461411249999998,0.22081173036137616
improved-full,L091,20,8,0.30140782375,0.34440146544565337
improved-full,L094,20,8,0.3180991274999999,0.3440226196238236
improved-full,L095,20,8,0.256495045,0.29118048715612094
improved-full,L096,20,8,0.23137101625,0.2426344224543682
improved-full,L099,20,8,0.18089790999999997,0.2195837176106755
improved-full,L102,20,8,0.104802565,0.11585889865868514
improved-full,L111,20,8,0.25469993124999996,0.297415714256356
improved-full,L122,20,8,0.20806372,0.2190161255962107
improved-full,L126,20,8,0.15640433249999997,0.18089346712536744
improved-full,L128,20,8,0.30174303124999996,0.3329055768503587
improved-full,L134,20,8,0.18034261000000001,0.1983071757199924
improved-full,L143,20,8,0.22623589624999998,0.2523934392107094
improved-full,L152,20,8,0.37060322874999996,0.3902674291970546
improved-full,L154,20,8,0.225073935,0.24525928878948372
improved-full,L164,20,8,0.27183640124999997,0.29542947662021907
improved-full,L165,20,8,0.16073856250000002,0.19610249067136667
improved-full,L171,20,8,0.22950531999999998,0.26877087889609175
improved-full,L172,20,8,0.18638601999999999,0.23314721809504116
improved-full,L185,20,8,0.33114708624999994,0.3375967894098749
improved-full,L187,20,8,0.24790259874999998,0.26595223538185125
improved-full,L193,20,8,0.17007223374999997,0.22612041779913364
improved-full,L206,20,8,0.22999787249999998,0.2762679899236485
improved-full,L208,20,8,0.10492296999999998,0.14000210452337092
improved-full,L211,20,8,0.25437149,0.2839779987356456
improved-full,L212,20,8,0.33533287375,0.3501433363986004
improved-full,L235,20,8,0.16814518249999996,0.20660372337558072
improved-full,L236,20,8,0.18490997624999997,0.21735433729005915
improved-full,L239,20,8,0.17936467875,0.21522263059625488
improved-full,L002,all,16,0.22860353687499999,0.2577386948423714
improved-full,L005,all,16,0.18775615124999998,0.2145992964739333
improved-full,L013,all,16,0.21947770562499996,0.2668963938419952
improved-full,L019,all,16,0.24593585312499996,0.28029170970494843
improved-full,L022,all,16,0.27384740062499996,0.3141052595934526
improved-full,L025,all,16,0.21275155937499995,0.25623509754839896
improved-full,L031,all,16,0.18277314312499998,0.22021372989651725
improved-full,L035,all,16,0.17504887437499997,0.21527608429931624
improved-full,L037,all,16,0.21134232,0.22686889918205555
